% time  amplitude  freq   approx.island width[cm] (CATS)
60.9754  0.000742217  7.44629  7.867082
60.9836  0.000769074  7.44629  8.008161
60.9918  0.0007009  7.38525  7.644997
61  0.000718157  7.38525  7.73855
61.0082  0.00071763  7.38525  7.735722
61.0164  0.000782306  7.26318  8.076806
61.0246  0.000766504  7.32422  7.994832
61.0328  0.000678898  7.26318  7.524113
61.041  0.00071295  7.32422  7.710519
61.0492  0.000694114  7.38525  7.608001
61.0574  0.000640009  7.44629  7.305491
61.0656  0.000689322  7.44629  7.581737
61.0738  0.000703224  7.44629  7.657834
61.082  0.000672304  7.38525  7.487615
61.0902  0.000689958  7.44629  7.585316
61.0984  0.000697699  7.44629  7.627781
61.1066  0.000654514  7.50732  7.387978
61.1148  0.000693462  7.44629  7.604657
61.123  0.000705417  7.44629  7.669968
61.1311  0.000680642  7.38525  7.534116
61.1393  0.000532535  7.44629  6.664223
61.1475  0.000642852  7.32422  7.322063
61.1557  0.000654537  7.38525  7.388353
61.1639  0.00066187  7.44629  7.429667
61.1721  0.000616191  7.44629  7.168744
61.1803  0.00070899  7.38525  7.689671
61.1885  0.000603267  7.26318  7.093239
61.1967  0.000685371  7.20215  7.560571
61.2049  0.000625731  7.14111  7.224157
61.2131  0.000639323  7.14111  7.30222
61.2213  0.000649669  7.14111  7.361085
61.2295  0.000698351  7.14111  7.631911
61.2377  0.000650359  7.08008  7.365008
61.2459  0.000625057  7.08008  7.220316
61.2541  0.000634828  7.14111  7.27652
61.2623  0.000655158  7.20215  7.392093
61.2705  0.000622507  7.20215  7.205509
61.2787  0.000637099  7.20215  7.289429
61.2869  0.000692035  7.14111  7.597154
61.2951  0.000618547  7.08008  7.182397
61.3033  0.000633166  7.14111  7.266699
61.3115  0.000630283  7.14111  7.250046
61.3197  0.000628131  7.14111  7.237555
61.3279  0.000657301  7.08008  7.40358
61.3361  0.000604482  7.08008  7.099753
61.3443  0.000682653  7.14111  7.54471
61.3525  0.000660333  7.08008  7.420173
61.3607  0.000637801  7.08008  7.292293
61.3689  0.000650835  7.08008  7.366222
61.377  0.000666054  7.14111  7.451626
61.3852  0.000706365  7.20215  7.673559
61.3934  0.000662377  7.56836  7.430532
61.4016  0.000689131  7.56836  7.578836
61.4098  0.000651814  7.62939  7.370504
61.418  0.000680532  7.62939  7.530829
61.4262  0.000654206  7.69043  7.383437
61.4344  0.000673175  7.69043  7.489413
61.4426  0.000670655  7.69043  7.475076
61.4508  0.000646235  7.69043  7.337421
61.459  0.00069349  7.62939  7.600646
61.4672  0.000664139  7.62939  7.43776
61.4754  0.000662607  7.62939  7.428878
61.4836  0.000678934  7.62939  7.519549
61.4918  0.000657698  7.62939  7.40073
61.5  0.000636597  7.69043  7.280771
61.5082  0.000644491  7.69043  7.325512
61.5164  0.000664109  7.69043  7.435915
61.5246  0.00065517  7.69043  7.385463
61.5328  0.00069357  7.69043  7.598587
61.541  0.000669374  7.69043  7.464662
61.5492  0.000664045  7.69043  7.434704
61.5574  0.000650328  7.69043  7.357354
61.5656  0.00064467  7.69043  7.325141
61.5738  0.00064987  7.69043  7.354512
61.582  0.000671895  7.69043  7.478013
61.5902  0.000653037  7.69043  7.372266
61.5984  0.000667239  7.69043  7.451972
61.6066  0.000635727  7.75146  7.27388
61.6148  0.000670034  7.62939  7.467608
61.623  0.000757077  7.62939  7.937934
61.6311  0.000740847  7.69043  7.852499
61.6393  0.000666112  7.69043  7.446039
61.6475  0.000619622  7.69043  7.181661
61.6557  0.000632975  7.69043  7.258821
61.6639  0.000601605  7.75146  7.076873
61.6721  0.000634979  7.75146  7.270756
61.6803  0.000603862  7.8125  7.090621
61.6885  0.000594404  7.8125  7.035142
61.6967  0.00059481  7.8125  7.037831
61.7049  0.000616068  7.8125  7.162796
61.7131  0.000606583  7.75146  7.10776
61.7213  0.000608684  7.8125  7.120388
61.7295  0.000584088  7.8125  6.975374
61.7377  0.000578285  7.75146  6.940974
61.7459  0.000580528  7.8125  6.954766
61.7541  0.000607978  7.75146  7.117649
61.7623  0.000602903  7.75146  7.088236
61.7705  0.000662938  7.69043  7.433148
61.7787  0.000599759  7.44629  7.07044
61.7869  0.000627068  7.38525  7.229977
61.7951  0.000483514  7.44629  6.349
61.8033  0.000515188  7.44629  6.553969
61.8115  0.00051895  7.50732  6.578161
61.8197  0.000476741  7.56836  6.305254
61.8279  0.000491994  7.56836  6.405602
61.8361  0.000437401  7.62939  6.040013
61.8443  0.000468039  7.62939  6.248214
61.8525  0.00044452  7.69043  6.089425
61.8607  0.000455064  7.69043  6.161428
61.8689  0.000466941  7.75146  6.241506
61.877  0.000424808  7.75146  5.95342
61.8852  0.000445112  7.8125  6.094183
61.8934  0.000443925  7.8125  6.086185
